04/01/22 11:39:32: style.scss - Undefined variable $white: style.scss on line 563, at column 6
04/01/22 11:39:37: style.scss - Undefined variable $white: style.scss on line 563, at column 6
04/01/22 11:39:39: style.scss - Undefined variable $white: style.scss on line 563, at column 6
04/01/22 11:39:49: style.scss - Undefined variable $white: style.scss on line 563, at column 6
04/01/22 11:40:20: style.scss - Undefined variable $white: style.scss on line 563, at column 6
04/01/22 11:40:39: style.scss - Undefined variable $white: style.scss on line 563, at column 6
04/01/22 11:40:50: style.scss - Undefined variable $white: style.scss on line 563, at column 6
04/01/22 11:41:33: style.scss - Undefined variable $white: style.scss on line 563, at column 6
04/11/22 11:27:54: style.scss - Undefined variable $white: style.scss on line 142, at column 9
04/11/22 11:27:54: style.scss - Undefined variable $white: style.scss on line 142, at column 9
04/11/22 11:28:12: style.scss - Undefined variable $white: style.scss on line 142, at column 9
04/11/22 12:14:51: style.scss - unclosed block: failed at `` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 642, at column 0
04/11/22 12:37:19: style.scss - parse error: failed at `align-content;` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 217, at column 25
04/11/22 12:37:34: style.scss - unclosed block: failed at `` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 662, at column 0
04/11/22 12:37:37: style.scss - unclosed block: failed at `` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 662, at column 0
04/11/22 2:53:50: style.scss - parse error: failed at `background-position: top center` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 16, at column 5
04/11/22 2:54:13: style.scss - parse error: failed at `background-position: top center` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 16, at column 5
04/11/22 2:54:22: style.scss - parse error: failed at `background-position: top center` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 16, at column 5
04/11/22 2:54:36: style.scss - parse error: failed at `background-position: top center` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 16, at column 5
04/11/22 2:54:48: style.scss - parse error: failed at `background-position: top center` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 16, at column 5
04/11/22 2:55:51: style.scss - parse error: failed at `background-position: top center` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 16, at column 5
04/11/22 2:56:14: style.scss - parse error: failed at `background-position: top center` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 16, at column 5
04/11/22 2:56:23: style.scss - parse error: failed at `background-position: top center` /home/devartisticore/public_html/forekidz/wp-content/themes/ForeKidz/assets/css/style.scss on line 16, at column 5
